reactants,products
CCCCCCCC=CC1CC1(C)C.ClCCl.O=S(Cl)Cl,CCCCCCCC=CC1C(C(=O)Cl)C1(C)C
CC(N)CCCC(C)(C)c1ccc(N)cc1,CC(N)CCCC(C)(C)[C@H]1CC[C@H](N)CC1
II.O=C(O)c1cnc(O)c(Cl)c1,Oc1ncc(I)cc1Cl
CCNCC(C)O.ClC1(N=Nc2cccnn2)C=CC(C(c2ccccc2)(c2ccccc2)c2ccccc2)=NN1,CCN(CC(C)O)C1(N=Nc2cccnn2)C=CC(C(c2ccccc2)(c2ccccc2)c2ccccc2)=NN1
ClCCl.O=C(Cl)Cl.O=C(O)c1ccc(C(=O)O)cc1,COC(=O)c1ccc(C(=O)OC)cc1
CCI.CI.COC(=O)CC(=O)c1ccc(-n2ccnc2)cc1,CCC(C)(C(=O)OC)C(=O)c1ccc(-n2ccnc2)cc1
CC1=CC(=O)CC(C)(C)C1.CCO.O=S(=O)(O)O,CCOC(=O)CC(C)(C)CC(C)=O
CO.COc1ccc2c(C#N)cccc2c1C(F)(F)C(F)(F)F.[OH-],COc1ccc2c(C(=O)O)cccc2c1C(F)(F)C(F)(F)F
CC(=O)O.CCc1cc(O)c2c(c1)C(C)(C)CCC2(C)C,CCc1cc2c(c(O)c1C=O)C(C)(C)CCC2(C)C
C1CCNC1.CCOC(=O)c1cn(CC)c2nc(OC)ncc2c1=O,CCOC(=O)c1cn(CC)c2nc(N3CCCC3)ncc2c1=O
O=C([O-])[O-].O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CO
CC1(C2CCCC2)Cc2cc(CC(=O)O)c(Cl)c(Cl)c2C1=O.O=S(Cl)Cl,CC1(C2CCCC2)Cc2cc(CC(=O)Cl)c(Cl)c(Cl)c2C1=O
CCOC(=O)c1c(O)c2ccc(C)nc2n(CC)c1=O.N,CCn1c(=O)c(C(N)=O)c(O)c2ccc(C)nc21
CCCCCCCC/C=C\CCCCCCCCOS(=O)(=O)c1ccc(C)cc1.CCCCO,CCCCCCCC/C=C\CCCCCCCCOCCCC
O=C1NC(=O)c2ccccc21.OC(CBr)C1=CC2(CCCC2)c2ccccc21,NCC(O)C1=CC2(CCCC2)c2ccccc21
BrCCCCBr.O=C(c1ccc(O)cc1)c1c(-c2ccccc2)oc2ccccc12,O=C(c1ccc(OCCCCBr)cc1)c1c(-c2ccccc2)oc2ccccc12
O=C(NCCl)Oc1cccc(Cl)c1.O=C(O)COc1ccc(Cl)cc1Cl,O=C(COc1ccc(Cl)cc1Cl)OCNC(=O)Oc1cccc(Cl)c1
Cc1cccc2c1CCC(=O)C2(O)C(F)(F)F,Cc1cccc2c(C(F)(F)F)c(O)ccc12
COCOC.COc1cc([N+](=O)[O-])c2nc(C)ccc2c1,COCOc1cc([N+](=O)[O-])c2nc(C)ccc2c1
CCC(=O)c1ccc(Cl)cc1.COC(OC)N(C)C,CC(=CN(C)C)C(=O)c1ccc(Cl)cc1
COC(OC)N(C)C.O=C1CCCC(=O)C1,CN(C)C=C1C(=O)CCCC1=O
COCCN.O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl,COCCNc1c([N+](=O)[O-])cc(C(F)(F)F)c(Cl)c1[N+](=O)[O-]
CCCCCCC(C)(C)c1ccc(C2=CC(=O)CCC2)c(O)c1,CCCCCCC(C)(C)c1ccc(C2=CC(O)CCC2)c(O)c1
CCCCCCCCCCCCc1ccc(O)c([N+](=O)[O-])c1,CCCCCCCCCCCCc1ccc(O)c(N)c1
CCCCc1cc(C(=O)O)nc(-c2ccc([N+](=O)[O-])cc2)c1.Nc1nnn[nH]1,CCCCc1cc(C(=O)Nc2nnn[nH]2)nc(-c2ccc([N+](=O)[O-])cc2)c1
CCOC(C)=O.COC(=O)Cc1ccnc(NC=O)n1,COC(=O)C(=O)c1ccnc(NC=O)n1
CCO[Si](CCCN)(OCC)OCC.Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CCO[Si](CCCN)(OCC)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
BrBr.CC(C)C(=O)C(C)(C)CO,CC(C)(Br)C(=O)C(C)(C)CO
O=C(O)Cc1ccc2c(c1)C(=O)Cc1ccccc1S2,O=C(O)Cc1ccc2c(c1)CCc1ccccc1S2
O=C=Nc1ccccc1.c1ccc(SCC2=NCCN2)cc1,O=C(Nc1ccccc1)N1CCN=C1CSc1ccccc1
Cc1nc(O)c(C(=O)O)cc1Cl.O=P(Cl)(Cl)c1ccccc1,Cc1nc(Cl)c(C(=O)O)cc1Cl
CN(C)CCN=C=S.NCCNCc1cccnn1,CN(C)CCNC(=S)NCCNCc1cccnn1
CC(=O)OC(C)=O.N#CCc1c[nH]c2ccc(N)cc12,CC(=O)Nc1ccc2[nH]cc(CC#N)c2c1
