reactants,products
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1NC(=O)c1cc2ccccc2n1C.Nc1ncnc2c1c(I)nn2CCCN1CCOCC1,COc1cc(-c2nn(CCCN3CCOCC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C
C[C@@H](O)c1cc(F)cc(F)c1.C[C@@H]1CNCCN1,C[C@@H]1CN([C@@H](C)c2cc(F)cc(F)c2)CCN1
C#Cc1ccc2c(c1)C(C)(C)CCC2=O.CCOC(=O)Cc1ccc(I)cc1F,CCOC(=O)Cc1ccc(C#Cc2ccc3c(c2)C(C)(C)CCC3=O)cc1F
CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1.Nc1cc(N2CCOCC2)ncc1I,CC(C)(C)OC(=O)N1CC=C(c2cnc(N3CCOCC3)cc2N)CC1
C=[CH][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.Cc1cc(OS(=O)(=O)C(F)(F)F)c2cccc(OCc3ccccc3)c2n1,C=Cc1cc(C)nc2c(OCc3ccccc3)cccc12
CC(=O)Cl.COC(=O)C(C)(C)CO,COC(=O)C(C)(C)COC(C)=O
COCCn1ccc(=O)c(OCc2ccccc2)c1C,COCCn1ccc(=O)c(O)c1C
NC(=O)c1ccc2cncc(Br)c2n1.OB(O)c1ccc(N2CCOCC2)cc1,NC(=O)c1ccc2cncc(-c3ccc(N4CCOCC4)cc3)c2n1
Cc1c(CO)c[nH]c1-c1ccccc1F,Cc1c(C=O)c[nH]c1-c1ccccc1F
CCCC(C)OC(=O)c1ccc(OC(C)=O)cc1,CCCC(C)OC(=O)c1ccc(O)cc1
COc1ccc(COCc2nc(C(C)C)c(Sc3cc(Cl)cc(Cl)c3)n2CC(C)=O)cc1,CC(=O)Cn1c(CO)nc(C(C)C)c1Sc1cc(Cl)cc(Cl)c1
Cc1cc(SC(C)(C)C)cc2c(Cl)c(C(N)=O)nnc12.Nc1cncc(F)c1,Cc1cc(SC(C)(C)C)cc2c(Nc3cncc(F)c3)c(C(N)=O)nnc12
COC(=O)C(C)(C)c1ccc2c(c1)NC(=O)c1ccc(-c3cccc4cnccc34)cc1N2,CC(C)(C(=O)O)c1ccc2c(c1)NC(=O)c1ccc(-c3cccc4cnccc34)cc1N2
COC(=O)c1cc(O)ns1.Cc1onc(-c2ccc(F)cn2)c1CO,COC(=O)c1cc(OCc2c(-c3ccc(F)cn3)noc2C)ns1
COc1cccc2c1[nH]c1ncc(C)cc12,Cc1cnc2[nH]c3c(O)cccc3c2c1
CC(C)(C)OO.OCC=Cc1ccccc1,OC[C@H]1O[C@@H]1c1ccccc1
CCCC(=O)Cl.O=C(Nc1ccc(Oc2ccnc3cc(-c4ccc(CN5CCN(C(=O)CO)CC5)cn4)sc23)c(F)c1)NC1CC1,CCCC(=O)OCC(=O)N1CCN(Cc2ccc(-c3cc4nccc(Oc5ccc(NC(=O)NC6CC6)cc5F)c4s3)nc2)CC1
CCCS.N#Cc1c(F)cccc1OC(F)F,CCCSc1cccc(OC(F)F)c1C#N
C[C@H](NC(=O)c1c(CN2CCN(CCCOC3CCCCO3)C(=O)C2)c(-c2ccccc2)nc2ccc(F)cc12)C1CCCCC1,C[C@H](NC(=O)c1c(CN2CCN(CCCO)C(=O)C2)c(-c2ccccc2)nc2ccc(F)cc12)C1CCCCC1
CC(=O)C1CC(C(=O)OC(C)(C)C)NC1c1ccccc1.Cc1cccc(NC(=O)NCC(=O)O)c1,CC(=O)C1CC(C(=O)OC(C)(C)C)N(C(=O)CNC(=O)Nc2cccc(C)c2)C1c1ccccc1
CC1(C)OB(c2ccc3c(c2)[nH]c2c(C(N)=O)cnc(NC(C4CC4)C4CC4)c23)OC1(C)C.Clc1cccnn1,NC(=O)c1cnc(NC(C2CC2)C2CC2)c2c1[nH]c1cc(-c3cccnn3)ccc12
C1=COCCC1.O=c1ccc2c([C@@H](O)CBr)ccc(OCc3ccccc3)c2[nH]1,O=c1ccc2c([C@H](CBr)OC3CCCCO3)ccc(OCc3ccccc3)c2[nH]1
CCCCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCCCCCC)CC(=O)NCC(=O)O.N[C@@H](Cc1ccccc1)C(=O)O,CCCCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCCCCCC)CC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O
CCOC(=O)/C(F)=C(/C)c1cc2c(c(Br)c1OC)C(C)(C)CC=C2C(C)C,COc1c(/C(C)=C(/F)CO)cc2c(c1Br)C(C)(C)CC=C2C(C)C
NC(=O)c1ccc(Oc2ccc(C=O)cc2)nc1.c1ccc(CCC2CCCNC2)cc1,NC(=O)c1ccc(Oc2ccc(CN3CCCC(CCc4ccccc4)C3)cc2)nc1
CCNCc1cc(C(F)(F)F)ccc1Br.O=C=NCc1ccccc1,CCN(Cc1cc(C(F)(F)F)ccc1Br)C(=O)NCc1ccccc1
Cc1ccc(C(=O)O)s1.Nc1cnc2ccccc2c1N,Cc1ccc(C(=O)Nc2cnc3ccccc3c2N)s1
O=C1CC(=O)C2C3C=CC(O3)C12,O=C1CC(=O)C2C3CCC(O3)C12
COc1ccc(S(=O)(=O)Cl)c(OC)c1.NC1(c2ccccc2)C(=O)Nc2ccc(Cl)cc21,COc1ccc(S(=O)(=O)N2C(=O)C(N)(c3ccccc3)c3cc(Cl)ccc32)c(OC)c1
C1CC(c2nn[nH]n2)CCN1.O=Cc1ccc2c(C(F)(F)F)c(OC3CCC(C(F)(F)F)CC3)ccc2c1,FC(F)(F)c1c(O[C@H]2CC[C@@H](C(F)(F)F)CC2)ccc2cc(CN3CCC(c4nn[nH]n4)CC3)ccc12
C=CC(=O)OCC.COCOCc1cccc(Br)c1,CCOC(=O)/C=C/c1cccc(COCOC)c1
CNC(=O)c1nc(Br)c(C)n(-c2cccc(C(F)(F)F)c2)c1=O.N#Cc1ccc(-n2nccc2B(O)O)cc1,CNC(=O)c1nc(-c2ccnn2-c2ccc(C#N)cc2)c(C)n(-c2cccc(C(F)(F)F)c2)c1=O
CN1CNCc2cc(C(=O)O)sc21.COc1ccc(CN)cc1,COc1ccc(CNC(=O)c2cc3c(s2)N(C)CNC3)cc1
O=C(Nc1ccc(N2CCN(Cc3ccccc3)CC2)cc1)c1ccccc1-c1ccc(C(F)(F)F)cc1,O=C(Nc1ccc(N2CCNCC2)cc1)c1ccccc1-c1ccc(C(F)(F)F)cc1
CCI.Cc1c(Sc2ccc(Cl)cc2)nn(-c2ccc(O)cc2)c(=O)c1C#N,CCOc1ccc(-n2nc(Sc3ccc(Cl)cc3)c(C)c(C#N)c2=O)cc1
COc1ccc(O)cc1.O=C1C(S(=O)(=O)c2ccc(F)cc2)CCCCN1OC(c1ccccc1)(c1ccccc1)c1ccccc1,COc1ccc(Oc2ccc(S(=O)(=O)C3CCCCN(OC(c4ccccc4)(c4ccccc4)c4ccccc4)C3=O)cc2)cc1
CC(C)I.COc1ccc(-c2n[nH]c3c(C(F)(F)F)cccc23)cc1,COc1ccc(-c2nn(C(C)C)c3c(C(F)(F)F)cccc23)cc1
C=CC(=O)OOC(C)(N)CC.CS(=O)(=O)Cl,C=CC(=O)OOC(C)(CC)NS(C)(=O)=O
CCOC(=O)Cc1cc(OC)cc2c1CCCC2,CCOC(=O)Cc1cc(O)cc2c1CCCC2
COc1ccc(CCc2cc3c(s2)-n2c(C)nnc2CN=C3c2ccccc2Cl)cc1,Cc1nnc2n1-c1sc(CCc3ccc(O)cc3)cc1C(c1ccccc1Cl)=NC2
COc1ccnc(CCc2nc3cc(I)cnc3[nH]2)c1.O=S(=O)(NCCO)c1ccc(Br)cc1,COc1ccnc(CCc2nc3cc(-c4ccc(S(=O)(=O)NCCO)cc4)cnc3[nH]2)c1
CCCCc1nc2c(N)nc3ccccc3c2n1CCCCl.Sc1ccccc1,CCCCc1nc2c(N)nc3ccccc3c2n1CCCSc1ccccc1
O=C(O)CCN1CCC(OCc2ccc(C(F)(F)F)cc2)CC1.O=[N+]([O-])c1ccc(NC2CCNCC2)cc1C(F)(F)F,O=C(CCN1CCC(OCc2ccc(C(F)(F)F)cc2)CC1)N1CCC(Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)CC1
CS(=O)(=O)OCCn1ccc2c1nc(N)n1nc(-c3ccco3)nc21.O=C(c1ccc(F)cc1F)N1CCNCC1,Nc1nc2c(ccn2CCN2CCN(C(=O)c3ccc(F)cc3F)CC2)c2nc(-c3ccco3)nn12
CCC(=O)c1ccc(OS(=O)(=O)C(F)(F)F)c(OC)c1.O=C(c1ccc(O)cc1)c1ccc(O)cc1,CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(OS(=O)(=O)C(F)(F)F)c(OC)c1
COC(=O)N1c2ccc(-c3cnn(C4CCN(C(=O)OC(C)(C)C)CC4)c3)c(Oc3ccc(Cl)cc3C#N)c2CC[C@@H]1C,COC(=O)N1c2ccc(-c3cnn(C4CCNCC4)c3)c(Oc3ccc(Cl)cc3C#N)c2CC[C@@H]1C
NCc1cccc(Cl)c1.Oc1nc(Cl)nc2nc[nH]c12,Oc1nc(NCc2cccc(Cl)c2)nc2nc[nH]c12
COc1ccc(S(=O)(=O)N2C(=O)C(NCC(=O)O)(c3ccccc3OC)c3cc(Cl)ccc32)c(OC(F)(F)F)c1.c1cc(N2CCNCC2)ccn1,COc1ccc(S(=O)(=O)N2C(=O)C(NCC(=O)N3CCN(c4ccncc4)CC3)(c3ccccc3OC)c3cc(Cl)ccc32)c(OC(F)(F)F)c1
C1CNCCN1.CCOC(=O)c1c(CCl)nc2cc(OC)c(OC)cc2c1-c1ccc(OC)c(OC)c1,CCOC(=O)c1c(CN2CCNCC2)nc2cc(OC)c(OC)cc2c1-c1ccc(OC)c(OC)c1
CC(C)N(C)S(=O)(=O)NC(=O)c1ccc(F)c([N+](=O)[O-])c1Cl,CC(C)N(C)S(=O)(=O)NC(=O)c1ccc(F)c(N)c1Cl
COc1cc(-c2ccc(F)cc2)ccc1CCC(C)(C(=O)NO)S(C)(=O)=O,CC(CCc1ccc(-c2ccc(F)cc2)cc1O)(C(=O)NO)S(C)(=O)=O
CCN.Cc1onc(-c2ccccc2)c1COc1ccc(C(=O)O)cn1,CCNC(=O)c1ccc(OCc2c(-c3ccccc3)noc2C)nc1
Nc1cccc(B(O)O)c1.O=[N+]([O-])c1cc(Br)ccc1F,Nc1cccc(-c2ccc(F)c([N+](=O)[O-])c2)c1
O=C(COCc1ccc(F)cc1)NCCCOc1ccc([N+](=O)[O-])cc1,Nc1ccc(OCCCNC(=O)COCc2ccc(F)cc2)cc1
O=C(Cl)C=Cc1cccc([N+](=O)[O-])c1.O=[N+]([O-])c1cccc(O)c1,O=C(C=Cc1cccc([N+](=O)[O-])c1)Oc1cccc([N+](=O)[O-])c1
C[C@H](Oc1ccc(S(C)(=O)=O)cc1C(=O)N1Cc2cc(Br)cnc2C1)C(F)(F)F.OB(O)c1ccc(F)cc1,C[C@H](Oc1ccc(S(C)(=O)=O)cc1C(=O)N1Cc2cc(-c3ccc(F)cc3)cnc2C1)C(F)(F)F
CC(C)(C)[C@H]1CC[C@@H](O)CC1.Cc1nc2cc(O)ccc2s1,Cc1nc2cc(OC3CCC(C(C)(C)C)CC3)ccc2s1
CN(C)CCCl.COC(=O)c1ccc(O)cc1,COC(=O)c1ccc(OCCN(C)C)cc1
CN1CCC2C1CCN2c1ccc([N+](=O)[O-])cc1,CN1CCC2C1CCN2c1ccc(N)cc1
CC(C)CC(O)C(=O)O.NC(=O)C(N)COCc1ccccc1,CC(C)CC(O)C(=O)NC(COCc1ccccc1)C(N)=O
C#C/C=C(\CC)c1cccc(O[Si](C)(C)C(C)(C)C)c1,C#C/C=C(\CC)c1cccc(O)c1
Fc1cnc(Cl)nc1Cl.NC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Fc1cnc(Cl)nc1NC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
CC(C)(C)NC(=O)[C@@H]1CCCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1cc2ccccc2cc1OCc1ccccc1,CC(C)(C)NC(=O)[C@@H]1CCCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1cc2ccccc2cc1O
CCOC(=O)c1ccc(CCl)o1.CCc1nc2c(N)nc3cc(O)ccc3c2s1,CCOC(=O)c1ccc(COc2ccc3c(c2)nc(N)c2nc(CC)sc23)o1
COCCNC(=O)C(Cc1ccccc1)NC(=O)[C@H](Cc1csc2ccccc12)NC(=O)OC(C)(C)C,COCCNC(=O)C(Cc1ccccc1)NC(=O)[C@@H](N)Cc1csc2ccccc12
