reactants,products
CC1(C)OB([c:1]2[cH:2][c:3]([O:4][CH3:5])[c:6]([NH:7][C:8](=[O:9])[c:10]3[cH:11][c:12]4[cH:13][cH:14][cH:15][cH:16][c:17]4[n:18]3[CH3:19])[cH:20][cH:21]2)OC1(C)C.I[c:22]1[c:23]2[c:24]([NH2:25])[n:26][cH:27][n:28][c:29]2[n:30]([CH2:31][CH2:32][CH2:33][N:34]2[CH2:35][CH2:36][O:37][CH2:38][CH2:39]2)[n:40]1,[c:1]1(-[c:22]2[c:23]3[c:24]([NH2:25])[n:26][cH:27][n:28][c:29]3[n:30]([CH2:31][CH2:32][CH2:33][N:34]3[CH2:35][CH2:36][O:37][CH2:38][CH2:39]3)[n:40]2)[cH:2][c:3]([O:4][CH3:5])[c:6]([NH:7][C:8](=[O:9])[c:10]2[cH:11][c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[n:18]2[CH3:19])[cH:20][cH:21]1
O[C@H:1]([CH3:2])[c:3]1[cH:4][c:5]([F:6])[cH:7][c:8]([F:9])[cH:10]1.[CH3:11][C@@H:12]1[CH2:13][NH:14][CH2:15][CH2:16][NH:17]1,[C@H:1]([CH3:2])([c:3]1[cH:4][c:5]([F:6])[cH:7][c:8]([F:9])[cH:10]1)[N:14]1[CH2:13][C@@H:12]([CH3:11])[NH:17][CH2:16][CH2:15]1
I[c:1]1[cH:2][cH:3][c:4]([CH2:5][C:6]([O:7][CH2:8][CH3:9])=[O:10])[c:11]([F:12])[cH:13]1.[CH:14]#[C:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([cH:21]1)[C:22]([CH3:23])([CH3:24])[CH2:25][CH2:26][C:27]2=[O:28],[c:1]1([C:14]#[C:15][c:16]2[cH:17][cH:18][c:19]3[c:20]([cH:21]2)[C:22]([CH3:23])([CH3:24])[CH2:25][CH2:26][C:27]3=[O:28])[cH:2][cH:3][c:4]([CH2:5][C:6]([O:7][CH2:8][CH3:9])=[O:10])[c:11]([F:12])[cH:13]1
CC1(C)OB([C:1]2=[CH:2][CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[CH2:12][CH2:13]2)OC1(C)C.I[c:14]1[c:15]([NH2:16])[cH:17][c:18]([N:19]2[CH2:20][CH2:21][O:22][CH2:23][CH2:24]2)[n:25][cH:26]1,[C:1]1([c:14]2[c:15]([NH2:16])[cH:17][c:18]([N:19]3[CH2:20][CH2:21][O:22][CH2:23][CH2:24]3)[n:25][cH:26]2)=[CH:2][CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[CH2:12][CH2:13]1
CCCC[Sn](CCCC)(CCCC)[CH:1]=[CH2:2].O=S(=O)(O[c:3]1[cH:4][c:5]([CH3:6])[n:7][c:8]2[c:9]1[cH:10][cH:11][cH:12][c:13]2[O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)C(F)(F)F,[CH:1](=[CH2:2])[c:3]1[cH:4][c:5]([CH3:6])[n:7][c:8]2[c:9]1[cH:10][cH:11][cH:12][c:13]2[O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1
Cl[C:1]([CH3:2])=[O:3].[CH3:4][O:5][C:6](=[O:7])[C:8]([CH3:9])([CH3:10])[CH2:11][OH:12],[C:1]([CH3:2])(=[O:3])[O:12][CH2:11][C:8]([C:6]([O:5][CH3:4])=[O:7])([CH3:9])[CH3:10]
c1ccc(C[O:2][c:3]2[c:4](=[O:5])[cH:6][cH:7][n:8]([CH2:9][CH2:10][O:11][CH3:12])[c:13]2[CH3:14])cc1,[OH:2][c:3]1[c:4](=[O:5])[cH:6][cH:7][n:8]([CH2:9][CH2:10][O:11][CH3:12])[c:13]1[CH3:14]
Br[c:1]1[cH:2][n:3][cH:4][c:5]2[cH:6][cH:7][c:8]([C:9]([NH2:10])=[O:11])[n:12][c:13]12.OB(O)[c:14]1[cH:15][cH:16][c:17]([N:18]2[CH2:19][CH2:20][O:21][CH2:22][CH2:23]2)[cH:24][cH:25]1,[c:1]1(-[c:14]2[cH:15][cH:16][c:17]([N:18]3[CH2:19][CH2:20][O:21][CH2:22][CH2:23]3)[cH:24][cH:25]2)[cH:2][n:3][cH:4][c:5]2[cH:6][cH:7][c:8]([C:9]([NH2:10])=[O:11])[n:12][c:13]12
[CH3:1][c:2]1[c:3]([CH2:4][OH:5])[cH:6][nH:7][c:8]1-[c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[F:15],[CH3:1][c:2]1[c:3]([CH:4]=[O:5])[cH:6][nH:7][c:8]1-[c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[F:15]
CC(=O)[O:1][c:2]1[cH:3][cH:4][c:5]([C:6]([O:7][CH:8]([CH2:9][CH2:10][CH3:11])[CH3:12])=[O:13])[cH:14][cH:15]1,[OH:1][c:2]1[cH:3][cH:4][c:5]([C:6]([O:7][CH:8]([CH2:9][CH2:10][CH3:11])[CH3:12])=[O:13])[cH:14][cH:15]1
