reaction_id,reaction_smiles
ord-1169cbe9fa064a879ac34b2e524a4e69,COC(=O)c1cc2c(ncn2C)c(F)c1N.Ic1ccccc1>CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.COc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd]>COC(=O)c1cc2c(ncn2C)c(F)c1Nc1ccccc1
ord-5fc624fd97b7430eafbe8dcc049d170b,Cc1ccc(Oc2ccnc(Cl)c2)c(C)n1.Nc1ccc(S(N)(=O)=O)cc1>CC(=O)N(C)C.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>Cc1ccc(Oc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)c2)c(C)n1
ord-b3c4a680709749268aeba07b670223ef,Brc1cncc(Br)c1.CC(=O)N1CCNCC1>CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CC(=O)N1CCN(c2cncc(Br)c2)CC1
ord-79caf81165b848e5b1765189056bb075,CC(C)(C)OC(N)=O.Fc1ccnc(Cl)c1>C1COCCO1.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd]>CC(C)(C)OC(=O)Nc1cc(F)ccn1
ord-3e57b5a0d75c4f5d9c22ce74626f60c3,CC(=O)Nc1cc(Cl)ccn1.Nc1c(Cl)ccc2c1OCO2>CC(=O)N(C)C.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CC(=O)Nc1cc(Nc2c(Cl)ccc3c2OCO3)ccn1
ord-bc24f3de1ac64e7e96966f7efd955e5c,CN1CCc2cccc(N)c2C1=O.Clc1cc(I)c(Cl)cn1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CN1CCc2cccc(Nc3cc(Cl)ncc3Cl)c2C1=O
ord-f766bf8ef3f8450eb6d323fd10519896,CONC(=O)c1ccccc1N.Clc1cc(I)c(Cl)cn1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CONC(=O)c1ccccc1Nc1cc(Cl)ncc1Cl
ord-b94a4cbc1fbd4100843834a92096e35b,CNC(=O)c1ccccc1N.Clc1cc(I)c(Cl)cn1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CNC(=O)c1ccccc1Nc1cc(Cl)ncc1Cl
ord-80e16f813a4348d09194009ae04f2217,CNC(=O)c1ccccc1Nc1cc(Cl)ncc1C#N.Cc1nn(C)cc1N>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CNC(=O)c1ccccc1Nc1cc(Nc2cn(C)nc2C)ncc1C#N
ord-d012fdccb17647d4838efd4e1491311e,CNC(=O)c1ccccc1Nc1cc(Cl)ncc1C#N.COc1cc(N)n(C)n1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CNC(=O)c1ccccc1Nc1cc(Nc2cc(OC)nn2C)ncc1C#N
